"city","street","postal_code","debut_tranche","fin_tranche","paire_impaire"
"ABWEILER","ROUTE DE LEUDELANGE","3311",,,""
"ABWEILER","RUE DU VILLAGE","3311",,,""
"AHN","IMPASSE DU RUISSEAU","5401",,,""
"AHN","ROUTE DU VIN","5401",,,""
"AHN","RUE ALY DUHR","5401",,,""
"AHN","RUE DE LA RESISTANCE","5401",,,""
"AHN","RUE DE NIEDERDONVEN","5401",,,""
"AHN","RUE DES ROSES","5401",,,""
"AHN","RUE DES VIGNES","5401",,,""
"AHN","RUE PALMBERG","5401",,,""
"ALLERBORN","ALLERBORN","9631",,,""
"ALLERBORN","FEITSCH","9631",,,""
"ALSCHEID","BEIM DONATUS","9632",,,""
"ALSCHEID","DUERFSTROOSS","9632",,,""
"ALSCHEID","MAERKELZER STROOSS","9632",,,""
"ALSCHEID","OP DER HEICHT","9632",,,""
"ALSCHEID","SCHOULBIERG","9632",,,""
"ALSCHEID","UM BECHEL","9632",,,""
"ALSCHEID","UM KONERHAFF","9632",,,""
"ALTLINSTER","OP DER HEICHT","6150",,,""
"ALTLINSTER","RUE DE BOURGLINSTER","6150",,,""
"ALTLINSTER","RUE DE GODBRANGE","6150",,,""
"ALTLINSTER","RUE DE JUNGLINSTER","6150",,,""
"ALTLINSTER","RUE DE LAROCHETTE","6150",,,""
"ALTLINSTER","RUE DE LUXEMBOURG","6150",,,""
"ALTLINSTER","RUE DES PRES","6150",,,""
"ALTLINSTER","SCHLEIFMILLEN","6150",,,""
"ALTRIER","AM REIMERGAARD","6225",,,""
"ALTRIER","BECHERWEE","6225",,,""
"ALTRIER","BEIM TUMULUS","6225",,,""
"ALTRIER","BILDCHEN","6225",,,""
"ALTRIER","HEESCHBREGERWEE","6225",,,""
"ALTRIER","HEMSTELERWEE","6225",,,""
"ALTRIER","KREIZENHEICHT","6225",,,""
"ALTRIER","OP DER RAUSCH","6225",,,""
"ALTRIER","OP DER SCHANZ","6225",,,""
"ALTRIER","WAMESCHBUR","6225",,,""
"ALTWIES","BREM WEE","5671",,,""
"ALTWIES","BREMHAFF","5671",,,""
"ALTWIES","GRAND-RUE","5671",,,""
"ALTWIES","HEINRICHSMILLEN","5670",,,""
"ALTWIES","HUELGAASS","5671",,,""
"ALTWIES","ROUTE DE FILSDORF","5671",,,""
"ALTWIES","ROUTE DE LUXEMBOURG","5670",,,""
"ALTWIES","ROUTE DE MONDORF","5670",,,""
"ALTWIES","RUE DE L'EGLISE","5671",,,""
"ALTWIES","RUE DES ROMAINS","5671",,,""
"ALTWIES","RUE DES SOURCES","5671",,,""
"ALTWIES","RUE DR JULIEN BERGER","5670",,,""
"ALTWIES","RUE EMILE KOHN","5671",,,""
"ALTWIES","RUE JEAN-PIERRE KOPPES","5670",,,""
"ALTWIES","RUE JEAN-PIERRE MOLITOR","5670",,,""
"ALTWIES","RUE NIC GREEF","5671",,,""
"ALTWIES","RUE VICTOR HUGO","5671",,,""
"ALZINGEN","ALLEE DE LA JEUNESSE SACRIFIEE 1940-1945","5863",16,998,"P"
"ALZINGEN","BEI DEN STRACHEN","5845",,,""
"ALZINGEN","HONDSBRECK","5835",,,""
