1009; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1010; LUXEMBOURG                              ; B; 1000; 1099; 28.07.2000
1011; LUXEMBOURG                              ; B; 1100; 1199; 28.07.2000
1012; LUXEMBOURG                              ; B; 1200; 1299; 28.07.2000
1013; LUXEMBOURG                              ; B; 1300; 1399; 28.07.2000
1014; LUXEMBOURG                              ; B; 1400; 1499; 28.07.2000
1015; LUXEMBOURG                              ; B; 1500; 1599; 28.07.2000
1016; LUXEMBOURG                              ; B; 1600; 1699; 28.07.2000
1017; LUXEMBOURG                              ; B; 1700; 1799; 28.07.2000
1018; LUXEMBOURG                              ; B; 1800; 1899; 28.07.2000
1019; LUXEMBOURG                              ; B; 1900; 1999; 28.07.2000
1020; LUXEMBOURG                              ; B; 2000; 2099; 28.07.2000
1021; LUXEMBOURG                              ; B; 2100; 2199; 28.07.2000
1022; LUXEMBOURG                              ; B; 2200; 2299; 28.07.2000
1023; LUXEMBOURG                              ; B; 2300; 2399; 28.07.2000
1024; LUXEMBOURG                              ; B; 2400; 2499; 28.07.2000
1025; LUXEMBOURG                              ; B; 2500; 2599; 28.07.2000
1026; LUXEMBOURG                              ; B; 2600; 2699; 28.07.2000
1027; LUXEMBOURG                              ; B; 2700; 2799; 28.07.2000
1028; LUXEMBOURG                              ; B; 2800; 2899; 28.07.2000
1029; LUXEMBOURG                              ; B; 2900; 2999; 28.07.2000
1030; LUXEMBOURG                              ; B; 3000; 3099; 28.07.2000
1050; LUXEMBOURG                              ; B; 5000; 5099; 28.07.2000
1110; FINDEL                                  ; N; 0000; 0000; 28.07.2000
1111; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1112; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1113; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1114; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1115; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1116; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1117; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1118; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1119; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1120; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1121; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1122; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1123; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1124; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1125; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1126; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1127; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1128; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1129; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1130; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1131; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1132; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1133; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1134; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1135; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1136; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1137; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1138; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1139; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1140; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1141; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1142; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1143; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1144; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1145; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1146; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1147; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1148; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1149; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1150; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1151; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1152; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1153; LUXEMBOURG                              ; N; 0000; 0000; 15.10.2012
1159; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1160; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1161; LUXEMBOURG                              ; N; 0000; 0000; 08.08.2011
1165; LUXEMBOURG                              ; N; 0000; 0000; 20.12.2010
1208; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1209; SENNINGERBERG                           ; N; 0000; 0000; 28.07.2000
1210; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1211; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1212; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1213; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1214; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1215; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1216; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1217; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1218; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1219; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1220; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1221; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1222; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1223; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1224; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1225; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1226; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1227; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1228; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1229; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1230; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1231; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1232; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1233; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1234; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1235; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1236; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1237; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1238; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1239; SENNINGERBERG                           ; N; 0000; 0000; 28.07.2000
1240; LUXEMBOURG                              ; N; 0000; 0000; 05.12.2002
1241; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1242; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1243; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1244; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1245; SENNINGERBERG                           ; N; 0000; 0000; 28.07.2000
1246; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1247; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1248; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1249; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1250; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1251; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1252; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1253; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1254; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1255; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1256; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1257; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1258; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1259; SENNINGERBERG                           ; N; 0000; 0000; 28.07.2000
1260; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1261; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1262; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1263; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1264; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1265; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1266; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1267; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1268; LUXEMBOURG                              ; N; 0000; 0000; 14.10.2005
1269; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1270; LUXEMBOURG                              ; N; 0000; 0000; 09.12.2004
1271; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1272; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1273; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1274; HOWALD                                  ; N; 0000; 0000; 28.07.2000
1275; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1276; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1277; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1278; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1279; LUXEMBOURG                              ; N; 0000; 0000; 28.07.2000
1280; LUXEMBOURG                              ; N; 0000; 0000; 14.10.2005
1281; LUXEMBOURG                              ; N; 0000; 0000; 20.12.2010
1282; LUXEMBOURG                              ; N; 0000; 0000; 29.01.2013
1283; LUXEMBOURG                              ; N; 0000; 0000; 04.08.2014
